Configuration,Aggregation,Caching,Offloading,OFDM,Mean_Success_Rate,Std_Success_Rate,Mean_Cache_Hit_Rate,Std_Cache_Hit_Rate,Mean_Energy_Efficiency,Std_Energy_Efficiency,Mean_Dropped_Tasks,Std_Dropped_Tasks,Num_Trials
greedy+greedy+load_balanced+backlog_greedy,greedy,greedy,load_balanced,backlog_greedy,43.01714622268357,0.0,9.395489053330488,0.0,0.01909900648747833,0.0,244.0,0.0,1
greedy+greedy+content_aware+backlog_greedy,greedy,greedy,content_aware,backlog_greedy,42.90422545293822,0.0,11.770669022302462,0.0,0.020259953582379343,0.0,233.0,0.0,1
greedy+greedy+load_balanced+priority_based,greedy,greedy,load_balanced,priority_based,42.232088572685434,0.0,12.724369541827492,0.0,0.019351873967050664,0.0,228.0,0.0,1
greedy+greedy+content_aware+round_robin,greedy,greedy,content_aware,round_robin,40.70710101176436,0.0,10.261362538835197,0.0,0.02079460277711119,0.0,234.0,0.0,1
greedy+greedy+content_aware+priority_based,greedy,greedy,content_aware,priority_based,39.75775618286036,0.0,11.26913566008733,0.0,0.019317953274437492,0.0,266.0,0.0,1
greedy+greedy+content_aware+fairness_aware,greedy,greedy,content_aware,fairness_aware,39.15401566011734,0.0,7.424191871157215,0.0,0.018871714365397134,0.0,256.0,0.0,1
greedy+greedy+random_split+fairness_aware,greedy,greedy,random_split,fairness_aware,19.131640460111704,0.0,7.182050683443768,0.0,0.00885340776216911,0.0,0.0,0.0,1
greedy+greedy+random_split+priority_based,greedy,greedy,random_split,priority_based,16.176542260428505,0.0,5.831517841927514,0.0,0.00689170505336226,0.0,0.0,0.0,1
greedy+greedy+random_split+round_robin,greedy,greedy,random_split,round_robin,15.967877495982759,0.0,6.631615185251766,0.0,0.007248492370903706,0.0,0.0,0.0,1
greedy+greedy+random_split+backlog_greedy,greedy,greedy,random_split,backlog_greedy,14.92744992692029,0.0,6.917247813654157,0.0,0.006704833129617192,0.0,0.0,0.0,1
